"group1","variable","variable_level","context","stat_name","stat"
"Zanomaline Low Dose (54 mg)","DCSREAS","LOST TO FOLLOW-UP","frequency","n",0
"Zanomaline Low Dose (54 mg)","DCSREAS","LOST TO FOLLOW-UP","frequency","pct",
"Zanomaline High Dose (81 mg)","DCSREAS","LOST TO FOLLOW-UP","frequency","n",0
"Zanomaline High Dose (81 mg)","DCSREAS","LOST TO FOLLOW-UP","frequency","pct",
"Placebo","DCSREAS","PHYSICIAN DECISION","frequency","n",1
"Placebo","DCSREAS","PHYSICIAN DECISION","frequency","pct",1.16279069767442
"Zanomaline Low Dose (54 mg)","DCSREAS","PHYSICIAN DECISION","frequency","n",0
"Zanomaline Low Dose (54 mg)","DCSREAS","PHYSICIAN DECISION","frequency","pct",
"Zanomaline High Dose (81 mg)","DCSREAS","PHYSICIAN DECISION","frequency","n",0
"Zanomaline High Dose (81 mg)","DCSREAS","PHYSICIAN DECISION","frequency","pct",
"Placebo","DCSREAS","PROTOCOL VIOLATION","frequency","n",2
"Placebo","DCSREAS","PROTOCOL VIOLATION","frequency","pct",2.32558139534884
"Zanomaline Low Dose (54 mg)","DCSREAS","PROTOCOL VIOLATION","frequency","n",0
"Zanomaline Low Dose (54 mg)","DCSREAS","PROTOCOL VIOLATION","frequency","pct",
"Zanomaline High Dose (81 mg)","DCSREAS","PROTOCOL VIOLATION","frequency","n",0
"Zanomaline High Dose (81 mg)","DCSREAS","PROTOCOL VIOLATION","frequency","pct",
"Placebo","DCSREAS","STUDY TERMINATED BY SPONSOR","frequency","n",2
"Placebo","DCSREAS","STUDY TERMINATED BY SPONSOR","frequency","pct",2.32558139534884
"Zanomaline Low Dose (54 mg)","DCSREAS","STUDY TERMINATED BY SPONSOR","frequency","n",0
"Zanomaline Low Dose (54 mg)","DCSREAS","STUDY TERMINATED BY SPONSOR","frequency","pct",
"Zanomaline High Dose (81 mg)","DCSREAS","STUDY TERMINATED BY SPONSOR","frequency","n",0
"Zanomaline High Dose (81 mg)","DCSREAS","STUDY TERMINATED BY SPONSOR","frequency","pct",
"Placebo","DCSREAS","WITHDRAWAL BY SUBJECT","frequency","n",9
"Placebo","DCSREAS","WITHDRAWAL BY SUBJECT","frequency","pct",10.4651162790698
"Zanomaline Low Dose (54 mg)","DCSREAS","WITHDRAWAL BY SUBJECT","frequency","n",0
"Zanomaline Low Dose (54 mg)","DCSREAS","WITHDRAWAL BY SUBJECT","frequency","pct",
"Zanomaline High Dose (81 mg)","DCSREAS","WITHDRAWAL BY SUBJECT","frequency","n",0
"Zanomaline High Dose (81 mg)","DCSREAS","WITHDRAWAL BY SUBJECT","frequency","pct",
